"city","country","pop2023","latitude","longitude"
"Asansol","India",504271,23.6833,86.9833
"Karol Bagh","India",505241,28.6514,77.1907
"Bilimora","India",510879,20.7696,72.9613
"Shiliguri","India",515574,26.71,88.4285
"Kolhapur","India",516142,16.6956,74.2317
"Ulhasnagar","India",516584,19.2167,73.15
"Ajmer","India",517911,26.4521,74.6387
"Durgapur","India",518872,23.5158,87.308
"Bhayandar","India",520301,19.3016,72.8511
"Dehra Dun","India",522081,30.3244,78.0339
"Guntur","India",530577,16.2997,80.4573
"Raurkela","India",536450,22.225,84.8641
"Nanded","India",550564,19.1602,77.315
"Bhavnagar","India",554978,21.7629,72.1533
"Warangal","India",557802,18,79.5833
"Bikaner","India",576015,28.0176,73.3149
"Cuttack","India",580000,20.465,85.8793
"Sangli","India",601214,16.8544,74.5642
"Amravati","India",603837,20.9333,77.75
"Cochin","India",604696,9.93988,76.2602
"Borivli","India",609617,19.235,72.8598
"Jamshedpur","India",616338,22.8028,86.1854
"Bhilai","India",625138,21.2092,81.4285
"Gorakhpur","India",674246,26.7663,83.3689
"Raipur","India",679995,21.2333,81.6333
"Bhiwandi","India",707035,19.3002,73.0588
"Moradabad","India",721139,28.8389,78.7768
"Bareilly","India",745435,28.3668,79.4317
"Aligarh","India",753207,27.8815,78.0746
"Bhubaneshwar","India",762243,20.2724,85.8338
"Kota","India",763088,25.1825,75.8391
"Tiruchirappalli","India",775484,10.8155,78.6965
"Salem","India",778396,11.6538,78.1554
"Thiruvananthapuram","India",784153,8.4855,76.9492
"Jalandhar","India",785178,31.3256,75.5792
"Hubli","India",840214,15.3478,75.1338
"Ranchi","India",846454,23.3432,85.3094
"Mysore","India",868313,12.2979,76.6393
"Vijayawada","India",874587,16.5075,80.6466
"Gwalior","India",882458,26.2298,78.1734
"Guwahati","India",899094,26.1844,91.7458
"Madurai","India",909908,9.91769,78.119
"Jodhpur","India",921476,26.2684,73.0059
"Coimbatore","India",959823,11.0056,76.9661
"Chandigarh","India",960787,30.7363,76.7884
"Srinagar","India",975857,34.0857,74.8055
"Solapur","India",997281,17.6715,75.9104
"Shivaji Nagar","India",1000000,18.5302,73.8526
"Aurangabad","India",1016441,19.8776,75.3423
"Haora","India",1027672,22.5769,88.3186
"Jabalpur","India",1030168,23.167,79.9501
"Teni","India",1034724,10.0112,77.4777
"Visakhapatnam","India",1063178,17.6801,83.2016
"Allahabad","India",1073438,25.4448,81.8432
"Amritsar","India",1092450,31.6223,74.8753
"Varanasi","India",1164404,25.3167,83.0104
"Rajkot","India",1177362,22.2916,70.7932
"Dombivli","India",1193000,19.2167,73.0833
"Ghaziabad","India",1199191,28.6653,77.4391
"Faridabad","India",1220229,28.4112,77.3132
"Nowrangapur","India",1220946,19.2311,82.5483
"Meerut","India",1223184,28.98,77.7064
"Thane","India",1261517,19.197,72.9635
"Kalyan","India",1262255,19.2437,73.1355
"Pimpri","India",1284606,18.6229,73.807
"Nashik","India",1289497,19.9973,73.791
"Gorakhpur","India",1324570,29.4477,75.6721
"Vadodara","India",1409476,22.2994,73.2081
"Agra","India",1430055,27.1833,78.0167
"Tirunelveli","India",1435844,8.72742,77.6838
"Ludhiana","India",1545368,30.912,75.8538
"Bhopal","India",1599914,23.2547,77.4029
"Patna","India",1599920,25.5941,85.1356
"Indore","India",1837041,22.7179,75.8333
"Nagpur","India",2228018,21.1463,79.0849
"Lucknow","India",2472011,26.8393,80.9231
"Navi Mumbai","India",2600000,19.0368,73.0158
"Jaipur","India",2711758,26.9196,75.7878
"Kanpur","India",2823249,26.4652,80.3497
"Surat","India",2894504,21.1959,72.8302
"Pune","India",2935744,18.5196,73.8553
"Hyderabad","India",3597816,17.3841,78.4564
"Ahmedabad","India",3719710,23.0258,72.5873
"Chennai","India",4328063,13.0878,80.2785
"Kolkata","India",4631392,22.5626,88.363
"Bengaluru","India",5104047,12.9719,77.5937
"Delhi","India",10927986,28.652,77.2315
"Mumbai","India",12691836,19.0728,72.8826
